relative_path,size_bytes,modified
ProjectOutput\imports\imported-934b7fe02578\bounds.json,642,2026-08-13 22:58:26
ProjectOutput\imports\imported-934b7fe02578\meta.json,352,2026-08-13 22:58:26
ProjectOutput\imports\imported-e31bf2d1be09\meta.json,348,2026-08-13 22:58:26
ProjectOutput\imports\imported-e31bf2d1be09\bounds.json,638,2026-08-13 22:58:25
ProjectOutput\imports\imported-e3fb6ae5b5b0\bounds.json,635,2026-08-13 22:58:25
ProjectOutput\imports\imported-e3fb6ae5b5b0\meta.json,346,2026-08-13 22:58:25
ProjectOutput\job-native-station-prepared\COSMOS001_am6.csv,184,2026-08-13 22:25:35
ProjectOutput\job-native-station-prepared\COSMOS001_daily.csv,184,2026-08-13 22:25:35
ProjectOutput\job-native-ndvi\ndvi_20191231.cog.tif,2841,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi\ndvi_20191231.preview.png,8469,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi\ndvi_20200101.cog.tif,2842,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi\ndvi_20200101.preview.png,8220,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi\ndvi_20200601.cog.tif,2841,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi\ndvi_20200601.preview.png,8371,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi\ndvi_20201231.cog.tif,2842,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi\ndvi_20201231.preview.png,8284,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi\ndvi_20210101.cog.tif,2843,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi\ndvi_20210101.preview.png,8254,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi-prepared\ndvi_20200101.cog.tif,2841,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi-prepared\ndvi_20200101.preview.png,8109,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi-prepared\ndvi_20200102.cog.tif,2842,2026-08-13 22:25:34
ProjectOutput\job-native-ndvi-prepared\ndvi_20200102.preview.png,8236,2026-08-13 22:25:34
ProjectOutput\job-native-station\site_a_am6.csv,242,2026-08-13 22:25:34
ProjectOutput\job-native-station\site_a_daily.csv,242,2026-08-13 22:25:34
ProjectOutput\imports\imported-934b7fe02578\bounds_20251227_20251231.json,320,2026-08-12 13:33:53
ProjectOutput\imports\imported-934b7fe02578\preview_20251227_20251231.png,162275,2026-08-12 13:33:53
ProjectOutput\imports\imported-934b7fe02578\bounds_20251219_20251226.json,320,2026-08-12 13:33:52
ProjectOutput\imports\imported-934b7fe02578\preview_20251219_20251226.png,280167,2026-08-12 13:33:52
ProjectOutput\imports\imported-934b7fe02578\source_20251227_20251231.tif,640664,2026-08-12 13:33:52
ProjectOutput\imports\imported-934b7fe02578\bounds_20251211_20251218.json,320,2026-08-12 13:33:51
ProjectOutput\imports\imported-934b7fe02578\preview_20251211_20251218.png,282026,2026-08-12 13:33:51
ProjectOutput\imports\imported-934b7fe02578\source_20251219_20251226.tif,1118796,2026-08-12 13:33:51
ProjectOutput\imports\imported-934b7fe02578\source_20251211_20251218.tif,1133470,2026-08-12 13:33:50
ProjectOutput\imports\imported-934b7fe02578\bounds_20251203_20251210.json,320,2026-08-12 13:33:49
ProjectOutput\imports\imported-934b7fe02578\preview_20251203_20251210.png,279018,2026-08-12 13:33:49
ProjectOutput\imports\imported-934b7fe02578\source_20251203_20251210.tif,1147476,2026-08-12 13:33:49
ProjectOutput\imports\imported-934b7fe02578\bounds_20251125_20251202.json,320,2026-08-12 13:33:48
ProjectOutput\imports\imported-934b7fe02578\preview_20251125_20251202.png,240599,2026-08-12 13:33:48
ProjectOutput\imports\imported-934b7fe02578\source_20251125_20251202.tif,978787,2026-08-12 13:33:47
ProjectOutput\imports\imported-e31bf2d1be09\bounds_20251227_20251231.json,318,2026-08-12 13:33:47
ProjectOutput\imports\imported-e31bf2d1be09\preview_20251227_20251231.png,162615,2026-08-12 13:33:47
ProjectOutput\imports\_locks\imported-934b7fe02578.lock,1,2026-08-12 13:33:47
ProjectOutput\imports\imported-e31bf2d1be09\bounds_20251219_20251226.json,318,2026-08-12 13:33:46
ProjectOutput\imports\imported-e31bf2d1be09\preview_20251219_20251226.png,283749,2026-08-12 13:33:46
ProjectOutput\imports\imported-e31bf2d1be09\source_20251227_20251231.tif,907099,2026-08-12 13:33:46
ProjectOutput\imports\imported-e31bf2d1be09\bounds_20251211_20251218.json,318,2026-08-12 13:33:45
ProjectOutput\imports\imported-e31bf2d1be09\preview_20251211_20251218.png,282644,2026-08-12 13:33:45
ProjectOutput\imports\imported-e31bf2d1be09\source_20251219_20251226.tif,1751932,2026-08-12 13:33:45
ProjectOutput\imports\imported-e31bf2d1be09\source_20251211_20251218.tif,1751622,2026-08-12 13:33:44
ProjectOutput\imports\imported-e31bf2d1be09\bounds_20251203_20251210.json,318,2026-08-12 13:33:43
ProjectOutput\imports\imported-e31bf2d1be09\preview_20251203_20251210.png,280429,2026-08-12 13:33:43
ProjectOutput\imports\imported-e31bf2d1be09\source_20251203_20251210.tif,1743788,2026-08-12 13:33:43
ProjectOutput\imports\imported-e31bf2d1be09\bounds_20251125_20251202.json,318,2026-08-12 13:33:42
ProjectOutput\imports\imported-e31bf2d1be09\preview_20251125_20251202.png,239303,2026-08-12 13:33:42
ProjectOutput\imports\imported-e31bf2d1be09\source_20251125_20251202.tif,1420232,2026-08-12 13:33:42
ProjectOutput\imports\imported-e3fb6ae5b5b0\bounds_20251227_20251231.json,317,2026-08-12 13:33:41
ProjectOutput\imports\imported-e3fb6ae5b5b0\preview_20251227_20251231.png,199592,2026-08-12 13:33:41
ProjectOutput\imports\imported-e3fb6ae5b5b0\source_20251227_20251231.tif,850946,2026-08-12 13:33:41
ProjectOutput\imports\_locks\imported-e31bf2d1be09.lock,1,2026-08-12 13:33:41
ProjectOutput\imports\imported-e3fb6ae5b5b0\bounds_20251219_20251226.json,317,2026-08-12 13:33:40
ProjectOutput\imports\imported-e3fb6ae5b5b0\preview_20251219_20251226.png,363672,2026-08-12 13:33:40
ProjectOutput\imports\imported-e3fb6ae5b5b0\bounds_20251211_20251218.json,317,2026-08-12 13:33:39
ProjectOutput\imports\imported-e3fb6ae5b5b0\preview_20251211_20251218.png,362125,2026-08-12 13:33:39
ProjectOutput\imports\imported-e3fb6ae5b5b0\source_20251219_20251226.tif,1604674,2026-08-12 13:33:39
ProjectOutput\imports\imported-e3fb6ae5b5b0\source_20251211_20251218.tif,1608565,2026-08-12 13:33:38
ProjectOutput\imports\imported-e3fb6ae5b5b0\bounds_20251203_20251210.json,317,2026-08-12 13:33:37
ProjectOutput\imports\imported-e3fb6ae5b5b0\preview_20251203_20251210.png,351606,2026-08-12 13:33:37
ProjectOutput\imports\imported-e3fb6ae5b5b0\source_20251203_20251210.tif,1613482,2026-08-12 13:33:37
ProjectOutput\imports\imported-e3fb6ae5b5b0\bounds_20251125_20251202.json,317,2026-08-12 13:33:36
ProjectOutput\imports\imported-e3fb6ae5b5b0\preview_20251125_20251202.png,287509,2026-08-12 13:33:36
ProjectOutput\imports\imported-e3fb6ae5b5b0\source_20251125_20251202.tif,1273158,2026-08-12 13:33:36
ProjectOutput\imports\_locks\imported-e3fb6ae5b5b0.lock,1,2026-08-12 13:33:34
ProjectOutput\imports\_locks\imported-e16c116fc73b.lock,1,2026-08-11 06:47:17
ProjectOutput\imports\_locks\imported-e5f87cda040b.lock,1,2026-08-11 06:47:12
ProjectOutput\imports\_locks\imported-22b206a196fc.lock,1,2026-08-11 06:47:07
ProjectOutput\imports\_locks\imported-5c082dbaad9c.lock,1,2026-08-11 04:44:14
ProjectOutput\imports\_locks\imported-15c491efdaf8.lock,1,2026-08-11 04:44:05
ProjectOutput\imports\_locks\imported-7d6ce714375d.lock,1,2026-08-11 04:43:55
ProjectOutput\imports\imported-a0a2b270e91d\bounds.json,642,2026-08-11 02:13:08
ProjectOutput\imports\imported-a0a2b270e91d\bounds_20251227_20251231.json,320,2026-08-11 02:13:08
ProjectOutput\imports\imported-a0a2b270e91d\meta.json,352,2026-08-11 02:13:08
ProjectOutput\imports\imported-a0a2b270e91d\preview_20251227_20251231.png,21282,2026-08-11 02:13:08
ProjectOutput\imports\imported-a0a2b270e91d\bounds_20251219_20251226.json,320,2026-08-11 02:13:07
ProjectOutput\imports\imported-a0a2b270e91d\preview_20251219_20251226.png,21350,2026-08-11 02:13:07
ProjectOutput\imports\imported-a0a2b270e91d\source_20251219_20251226.tif,83366,2026-08-11 02:13:07
ProjectOutput\imports\imported-a0a2b270e91d\source_20251227_20251231.tif,83277,2026-08-11 02:13:07
ProjectOutput\imports\imported-a0a2b270e91d\bounds_20251203_20251210.json,320,2026-08-11 02:13:06
ProjectOutput\imports\imported-a0a2b270e91d\bounds_20251211_20251218.json,320,2026-08-11 02:13:06
ProjectOutput\imports\imported-a0a2b270e91d\preview_20251203_20251210.png,21354,2026-08-11 02:13:06
ProjectOutput\imports\imported-a0a2b270e91d\preview_20251211_20251218.png,21352,2026-08-11 02:13:06
ProjectOutput\imports\imported-a0a2b270e91d\source_20251211_20251218.tif,83366,2026-08-11 02:13:06
ProjectOutput\imports\imported-a0a2b270e91d\bounds_20251125_20251202.json,320,2026-08-11 02:13:05
ProjectOutput\imports\imported-a0a2b270e91d\preview_20251125_20251202.png,21348,2026-08-11 02:13:05
ProjectOutput\imports\imported-a0a2b270e91d\source_20251203_20251210.tif,83366,2026-08-11 02:13:05
ProjectOutput\imports\imported-263794438b91\bounds.json,638,2026-08-11 02:13:04
ProjectOutput\imports\imported-263794438b91\bounds_20251227_20251231.json,318,2026-08-11 02:13:04
ProjectOutput\imports\imported-263794438b91\meta.json,348,2026-08-11 02:13:04
ProjectOutput\imports\imported-263794438b91\preview_20251227_20251231.png,21282,2026-08-11 02:13:04
ProjectOutput\imports\imported-a0a2b270e91d\source_20251125_20251202.tif,83357,2026-08-11 02:13:04
ProjectOutput\imports\_locks\imported-a0a2b270e91d.lock,1,2026-08-11 02:13:04
ProjectOutput\imports\imported-263794438b91\bounds_20251219_20251226.json,318,2026-08-11 02:13:03
ProjectOutput\imports\imported-263794438b91\preview_20251219_20251226.png,21362,2026-08-11 02:13:03
ProjectOutput\imports\imported-263794438b91\source_20251219_20251226.tif,83365,2026-08-11 02:13:03
ProjectOutput\imports\imported-263794438b91\source_20251227_20251231.tif,83278,2026-08-11 02:13:03
ProjectOutput\imports\imported-263794438b91\bounds_20251203_20251210.json,318,2026-08-11 02:13:02
ProjectOutput\imports\imported-263794438b91\bounds_20251211_20251218.json,318,2026-08-11 02:13:02
ProjectOutput\imports\imported-263794438b91\preview_20251203_20251210.png,21361,2026-08-11 02:13:02
ProjectOutput\imports\imported-263794438b91\preview_20251211_20251218.png,21355,2026-08-11 02:13:02
ProjectOutput\imports\imported-263794438b91\source_20251211_20251218.tif,83368,2026-08-11 02:13:02
ProjectOutput\imports\imported-263794438b91\bounds_20251125_20251202.json,318,2026-08-11 02:13:01
ProjectOutput\imports\imported-263794438b91\preview_20251125_20251202.png,21360,2026-08-11 02:13:01
ProjectOutput\imports\imported-263794438b91\source_20251203_20251210.tif,83369,2026-08-11 02:13:01
ProjectOutput\imports\imported-263794438b91\source_20251125_20251202.tif,83368,2026-08-11 02:13:00
ProjectOutput\imports\imported-75c11f15f9e3\bounds.json,635,2026-08-11 02:13:00
ProjectOutput\imports\imported-75c11f15f9e3\bounds_20251227_20251231.json,317,2026-08-11 02:13:00
ProjectOutput\imports\imported-75c11f15f9e3\meta.json,346,2026-08-11 02:13:00
ProjectOutput\imports\imported-75c11f15f9e3\preview_20251227_20251231.png,21281,2026-08-11 02:13:00
ProjectOutput\imports\_locks\imported-263794438b91.lock,1,2026-08-11 02:13:00
