run_id,status,updated_at,run_class,user_id,layer_id,command_type,workflow
run-c0bdabf5813b,failed,2026-08-14T22:46:19.405496+00:00,business,,wind-field,custom,
run-edad995dc8d8,succeeded,2026-08-14T22:46:19.358741+00:00,business,,wind-field,custom,
run-0eb79b60b02d,succeeded,2026-08-14T22:46:19.073818+00:00,business,,wind-field,custom,
run-a129eaf60642,succeeded,2026-08-14T22:46:18.809268+00:00,business,,wind-field,custom,
run-9d91627b0e5a,succeeded,2026-08-14T22:46:18.605186+00:00,business,,wind-field,custom,
run-0ba1964fe31a,succeeded,2026-08-14T22:46:17.159073+00:00,business,,wind-field,custom,
run-4bcfb82d0f78,succeeded,2026-08-14T22:46:16.709042+00:00,business,,visibility,analysis,
run-5bd5ff92b68f,succeeded,2026-08-14T22:46:16.530128+00:00,business,,humidity,analysis,
run-9bf0cacad451,succeeded,2026-08-14T22:46:16.449026+00:00,business,,pressure,analysis,
run-41c070e15198,succeeded,2026-08-14T22:46:16.375621+00:00,business,,precipitation,analysis,
run-e484ed6bbd3a,succeeded,2026-08-14T22:46:16.252526+00:00,business,,temperature,analysis,
run-b3906526893f,succeeded,2026-08-14T22:46:16.076215+00:00,business,,wind-field,analysis,
run-59c8f61ea449,succeeded,2026-08-14T22:46:15.978021+00:00,business,,visibility,analysis,
run-800b0f84418a,succeeded,2026-08-14T22:46:15.904072+00:00,business,,humidity,analysis,
run-754c9b27c08e,succeeded,2026-08-14T22:46:15.801356+00:00,business,,pressure,analysis,
run-7ad4b885c904,succeeded,2026-08-14T22:46:15.642649+00:00,business,,precipitation,analysis,
run-2e6cf8cacac0,succeeded,2026-08-14T22:46:15.361042+00:00,business,,temperature,analysis,
run-6554cade0758,succeeded,2026-08-14T22:46:15.171898+00:00,business,,wind-field,analysis,
run-1d9aae72c2e1,failed,2026-08-14T22:37:34.621620+00:00,business,,wind-field,custom,
run-1df34f21f134,succeeded,2026-08-14T22:37:34.576220+00:00,business,,wind-field,custom,
run-e560b4ef5352,succeeded,2026-08-14T22:37:33.206727+00:00,business,,wind-field,custom,
run-d38928c757ce,succeeded,2026-08-14T22:37:32.939051+00:00,business,,wind-field,custom,
run-a56ad4f9f471,succeeded,2026-08-14T22:37:32.605294+00:00,business,,wind-field,custom,
run-fe50086ebabd,succeeded,2026-08-14T22:37:32.216451+00:00,business,,wind-field,custom,
run-89f2a6699adf,succeeded,2026-08-14T22:37:31.633329+00:00,business,,visibility,analysis,
run-7401d6b7b3a7,succeeded,2026-08-14T22:37:31.395222+00:00,business,,humidity,analysis,
run-ff7ec56d0678,succeeded,2026-08-14T22:37:31.284786+00:00,business,,pressure,analysis,
run-f9619bce84a1,succeeded,2026-08-14T22:37:31.211632+00:00,business,,precipitation,analysis,
run-11c5645cfe0a,succeeded,2026-08-14T22:37:31.048329+00:00,business,,temperature,analysis,
run-de31c3847441,succeeded,2026-08-14T22:37:30.848864+00:00,business,,wind-field,analysis,
run-5612ff6f8447,succeeded,2026-08-14T22:37:30.588070+00:00,business,,visibility,analysis,
run-5af143bfec31,succeeded,2026-08-14T22:36:36.122644+00:00,business,,humidity,analysis,
run-a18e4690d30b,succeeded,2026-08-14T22:36:35.756684+00:00,business,,pressure,analysis,
run-3d34394d03be,succeeded,2026-08-14T22:36:35.168125+00:00,business,,precipitation,analysis,
run-e54263c4fd9d,succeeded,2026-08-14T22:36:34.603317+00:00,business,,temperature,analysis,
run-8f554eff6e5b,succeeded,2026-08-14T22:36:33.611734+00:00,business,,wind-field,analysis,
run-283796fd594e,failed,2026-08-14T22:04:40.631595+00:00,business,1,ref-fy-tb-202512-mwri,analysis,
run-81483a116666,failed,2026-08-14T20:50:57.083426+00:00,business,,wind-field,custom,
run-8a97c5106d74,succeeded,2026-08-14T20:50:56.964823+00:00,business,,wind-field,custom,
run-79e988a0b509,succeeded,2026-08-14T20:50:56.709560+00:00,business,,wind-field,custom,
run-ff3e03a5c48c,succeeded,2026-08-14T20:50:56.426065+00:00,business,,wind-field,custom,
run-4c9ffaed2d34,succeeded,2026-08-14T20:50:56.085033+00:00,business,,wind-field,custom,
run-5b6007dae035,succeeded,2026-08-14T20:50:52.976901+00:00,business,,wind-field,custom,
run-61d989a323e3,succeeded,2026-08-14T20:50:52.514005+00:00,business,,visibility,analysis,
run-f9308395e6fc,succeeded,2026-08-14T20:50:52.305220+00:00,business,,humidity,analysis,
run-c25e16235ed9,succeeded,2026-08-14T20:50:52.129914+00:00,business,,pressure,analysis,
run-8f0009f2d9a5,succeeded,2026-08-14T20:50:51.854137+00:00,business,,precipitation,analysis,
run-7adf9cac29f4,succeeded,2026-08-14T20:50:51.630128+00:00,business,,temperature,analysis,
run-5b3286d17f85,succeeded,2026-08-14T20:50:51.341111+00:00,business,,wind-field,analysis,
run-e625673b6716,succeeded,2026-08-14T20:50:51.123135+00:00,business,,visibility,analysis,
run-d75ad42938cb,succeeded,2026-08-14T20:50:02.020618+00:00,business,,humidity,analysis,
run-97f311d8e459,succeeded,2026-08-14T20:50:01.572727+00:00,business,,pressure,analysis,
run-8c5805e46407,succeeded,2026-08-14T20:50:00.978781+00:00,business,,precipitation,analysis,
run-27728f6bf7af,succeeded,2026-08-14T20:50:00.234873+00:00,business,,temperature,analysis,
run-424a40c05af9,succeeded,2026-08-14T20:49:56.707389+00:00,business,,wind-field,analysis,
run-529873e292dc,failed,2026-08-14T16:10:47.713561+00:00,business,1,ref-fy-tb-202512-mwri,analysis,
